CANDIDATE ID,CANDIDATE NAME,FATHER,GROUP,OTHER,Test ID,Test,sub_Verbal Ability,sub_Current Affairs,sub_General Science,sub_Numerical Ability,sub_Social Science,Total,Test Rank,Group Rank,Percentage
1806743,,,,,,,,,,,,80,,,
1806835,,,,,,,,,,,,78,,,
1807017,,,,,,,,,,,,76,,,
1806868,,,,,,,,,,,,76,,,
1806820,,,,,,,,,,,,76,,,
1806771,,,,,,,,,,,,76,,,
1806636,,,,,,,,,,,,76,,,
1806982,,,,,,,,,,,,74,,,
1806647,,,,,,,,,,,,74,,,
1807098,,,,,,,,,,,,74,,,
1806680,,,,,,,,,,,,74,,,
1806593,,,,,,,,,,,,74,,,
1806923,,,,,,,,,,,,74,,,
1807045,,,,,,,,,,,,74,,,
1806846,,,,,,,,,,,,74,,,
1807081,,,,,,,,,,,,74,,,
1806603,,,,,,,,,,,,72,,,
1806866,,,,,,,,,,,,72,,,
1806870,,,,,,,,,,,,72,,,
1806379,,,,,,,,,,,,72,,,
1806742,,,,,,,,,,,,72,,,
1807130,,,,,,,,,,,,72,,,
1806954,,,,,,,,,,,,72,,,
1806361,,,,,,,,,,,,72,,,
1806839,,,,,,,,,,,,72,,,
1807037,,,,,,,,,,,,72,,,
1806624,,,,,,,,,,,,72,,,
1807102,,,,,,,,,,,,70,,,
1806776,,,,,,,,,,,,70,,,
1806601,,,,,,,,,,,,70,,,
1806837,,,,,,,,,,,,70,,,
1807154,,,,,,,,,,,,70,,,
1807085,,,,,,,,,,,,70,,,
1806258,,,,,,,,,,,,70,,,
1806984,,,,,,,,,,,,70,,,
1806788,,,,,,,,,,,,70,,,
1806827,,,,,,,,,,,,70,,,
1807014,,,,,,,,,,,,70,,,
1806935,,,,,,,,,,,,70,,,
1806853,,,,,,,,,,,,70,,,
1807029,,,,,,,,,,,,70,,,
1806761,,,,,,,,,,,,70,,,
1806741,,,,,,,,,,,,70,,,
1806974,,,,,,,,,,,,70,,,
1806723,,,,,,,,,,,,70,,,
1806331,,,,,,,,,,,,68,,,
1807067,,,,,,,,,,,,68,,,
1806964,,,,,,,,,,,,68,,,
1806610,,,,,,,,,,,,68,,,
1806834,,,,,,,,,,,,68,,,
1806934,,,,,,,,,,,,68,,,
1806872,,,,,,,,,,,,68,,,
