CANDIDATE ID,CANDIDATE NAME,FATHER,GROUP,OTHER,Test ID,Test,General Science,Social Science,Total,Test Rank,Group Rank,Percentage
3141,,,,,119,Junior Scientist 2019,0,45,45,75,0,14.062
3143,,,,,119,Junior Scientist 2019,80,10,90,34,0,28.125
3145,,,,,119,Junior Scientist 2019,15,15,30,89,0,9.375
3147,,,,,119,Junior Scientist 2019,111,14,125,10,0,39.062
3149,,,,,119,Junior Scientist 2019,89,46,135,5,0,42.188
3150,,,,,119,Junior Scientist 2019,104,24,128,8,0,40
3151,,,,,119,Junior Scientist 2019,55,30,85,39,0,26.562
3155,,,,,119,Junior Scientist 2019,30,25,55,65,0,17.188
3157,,,,,119,Junior Scientist 2019,40,10,50,70,0,15.625
3159,,,,,119,Junior Scientist 2019,96,22,118,14,0,36.875
3160,,,,,119,Junior Scientist 2019,65,9,74,48,0,23.125
3161,,,,,119,Junior Scientist 2019,39,2,41,79,0,12.812
3162,,,,,119,Junior Scientist 2019,27,48,75,47,0,23.438
3163,,,,,119,Junior Scientist 2019,49,16,65,56,0,20.312
3164,,,,,119,Junior Scientist 2019,85,55,140,3,0,43.75
3165,,,,,119,Junior Scientist 2019,-5,-5,-10,108,0,0
3166,,,,,119,Junior Scientist 2019,76,47,123,11,0,38.438
3168,,,,,119,Junior Scientist 2019,42,35,77,45,0,24.062
3169,,,,,119,Junior Scientist 2019,10,-3,7,101,0,2.188
3170,,,,,119,Junior Scientist 2019,65,25,90,34,0,28.125
3171,,,,,119,Junior Scientist 2019,61,9,70,52,0,21.875
3172,,,,,119,Junior Scientist 2019,9,35,44,76,0,13.75
3173,,,,,119,Junior Scientist 2019,40,39,79,43,0,24.688
3175,,,,,119,Junior Scientist 2019,66,71,137,4,0,42.812
3176,,,,,119,Junior Scientist 2019,56,15,71,51,0,22.188
3177,,,,,119,Junior Scientist 2019,95,25,120,13,0,37.5
3178,,,,,119,Junior Scientist 2019,14,9,23,93,0,7.188
3180,,,,,119,Junior Scientist 2019,85,26,111,18,0,34.688
3185,,,,,119,Junior Scientist 2019,15,70,85,39,0,26.562
3186,,,,,119,Junior Scientist 2019,35,4,39,81,0,12.188
3187,,,,,119,Junior Scientist 2019,88,10,98,27,0,30.625
3188,,,,,119,Junior Scientist 2019,15,-5,10,100,0,3.125
3189,,,,,119,Junior Scientist 2019,25,5,30,89,0,9.375
3190,,,,,119,Junior Scientist 2019,115,5,120,13,0,37.5
3191,,,,,119,Junior Scientist 2019,41,5,46,74,0,14.375
3193,,,,,119,Junior Scientist 2019,22,29,51,69,0,15.938
3197,,,,,119,Junior Scientist 2019,50,27,77,45,0,24.062
3199,,,,,119,Junior Scientist 2019,73,48,121,12,0,37.812
3200,,,,,119,Junior Scientist 2019,10,47,57,64,0,17.812
3201,,,,,119,Junior Scientist 2019,5,34,39,81,0,12.188
3210,,,,,119,Junior Scientist 2019,70,29,99,26,0,30.938
3213,,,,,119,Junior Scientist 2019,40,25,65,56,0,20.312
3215,,,,,119,Junior Scientist 2019,41,65,106,21,0,33.125
3216,,,,,119,Junior Scientist 2019,60,9,69,53,0,21.562
3218,,,,,119,Junior Scientist 2019,37,30,67,54,0,20.938
3219,,,,,119,Junior Scientist 2019,25,30,55,65,0,17.188
3220,,,,,119,Junior Scientist 2019,41,5,46,74,0,14.375
3222,,,,,119,Junior Scientist 2019,55,15,70,52,0,21.875
3226,,,,,119,Junior Scientist 2019,25,20,45,75,0,14.062
3228,,,,,119,Junior Scientist 2019,65,5,70,52,0,21.875
3229,,,,,119,Junior Scientist 2019,-5,24,19,95,0,5.938
3231,,,,,119,Junior Scientist 2019,48,5,53,67,0,16.562
3237,,,,,119,Junior Scientist 2019,8,-3,5,103,0,1.562
3240,,,,,119,Junior Scientist 2019,-1,7,6,102,0,1.875
3242,,,,,119,Junior Scientist 2019,-1,2,1,104,0,0.312
3249,,,,,119,Junior Scientist 2019,45,6,51,69,0,15.938
3252,,,,,119,Junior Scientist 2019,20,30,50,70,0,15.625
3254,,,,,119,Junior Scientist 2019,47,30,77,45,0,24.062
3262,,,,,119,Junior Scientist 2019,55,28,83,40,0,25.938
3264,,,,,119,Junior Scientist 2019,47,55,102,23,0,31.875
3265,,,,,119,Junior Scientist 2019,16,50,66,55,0,20.625
3269,,,,,119,Junior Scientist 2019,30,35,65,56,0,20.312
3271,,,,,119,Junior Scientist 2019,58,18,76,46,0,23.75
3273,,,,,119,Junior Scientist 2019,66,30,96,29,0,30
3274,,,,,119,Junior Scientist 2019,19,1,20,94,0,6.25
3275,,,,,119,Junior Scientist 2019,90,42,132,6,0,41.25
3277,,,,,119,Junior Scientist 2019,9,22,31,88,0,9.688
3278,,,,,119,Junior Scientist 2019,48,0,48,72,0,15
3279,,,,,119,Junior Scientist 2019,55,37,92,32,0,28.75
3280,,,,,119,Junior Scientist 2019,69,32,101,24,0,31.562
3283,,,,,119,Junior Scientist 2019,82,17,99,26,0,30.938
3285,,,,,119,Junior Scientist 2019,43,45,88,36,0,27.5
3286,,,,,119,Junior Scientist 2019,30,30,60,61,0,18.75
3289,,,,,119,Junior Scientist 2019,40,20,60,61,0,18.75
3290,,,,,119,Junior Scientist 2019,57,37,94,31,0,29.375
3292,,,,,119,Junior Scientist 2019,47,4,51,69,0,15.938
3293,,,,,119,Junior Scientist 2019,53,46,99,26,0,30.938
3294,,,,,119,Junior Scientist 2019,45,20,65,56,0,20.312
3297,,,,,119,Junior Scientist 2019,55,25,80,42,0,25
3299,,,,,119,Junior Scientist 2019,63,22,85,39,0,26.562
3300,,,,,119,Junior Scientist 2019,60,7,67,54,0,20.938
3301,,,,,119,Junior Scientist 2019,21,41,62,59,0,19.375
3304,,,,,119,Junior Scientist 2019,70,15,85,39,0,26.562
