CANDIDATE ID,CANDIDATE NAME,FATHER,GROUP,OTHER,Test ID,Test,General Science,Social Science,Total,Test Rank,Group Rank,Percentage
255,,,,,115,Junior Scientist 2018,35,55,90,66,0,28.125
257,,,,,115,Junior Scientist 2018,35,65,100,62,0,31.25
259,,,,,115,Junior Scientist 2018,73,87,160,24,0,50
262,,,,,115,Junior Scientist 2018,65,80,145,34,0,45.312
263,,,,,115,Junior Scientist 2018,83,82,165,22,0,51.562
264,,,,,115,Junior Scientist 2018,84,72,156,27,0,48.75
265,,,,,115,Junior Scientist 2018,50,65,115,53,0,35.938
269,,,,,115,Junior Scientist 2018,56,67,123,48,0,38.438
270,,,,,115,Junior Scientist 2018,60,60,120,50,0,37.5
271,,,,,115,Junior Scientist 2018,40,10,50,77,0,15.625
273,,,,,115,Junior Scientist 2018,45,55,100,62,0,31.25
274,,,,,115,Junior Scientist 2018,125,105,230,3,0,71.875
278,,,,,115,Junior Scientist 2018,71,75,146,33,0,45.625
279,,,,,115,Junior Scientist 2018,65,41,106,60,0,33.125
283,,,,,115,Junior Scientist 2018,80,80,160,24,0,50
286,,,,,115,Junior Scientist 2018,30,30,60,74,0,18.75
287,,,,,115,Junior Scientist 2018,35,40,75,71,0,23.438
289,,,,,115,Junior Scientist 2018,76,60,136,41,0,42.5
290,,,,,115,Junior Scientist 2018,55,66,121,49,0,37.812
292,,,,,115,Junior Scientist 2018,50,80,130,44,0,40.625
293,,,,,115,Junior Scientist 2018,81,72,153,29,0,47.812
295,,,,,115,Junior Scientist 2018,50,55,105,61,0,32.812
296,,,,,115,Junior Scientist 2018,90,80,170,19,0,53.125
297,,,,,115,Junior Scientist 2018,80,110,190,9,0,59.375
438,,,,,115,Junior Scientist 2018,25,0,25,83,0,7.812
302,,,,,115,Junior Scientist 2018,45,36,81,69,0,25.312
303,,,,,115,Junior Scientist 2018,60,50,110,57,0,34.375
304,,,,,115,Junior Scientist 2018,100,80,180,13,0,56.25
306,,,,,115,Junior Scientist 2018,80,65,145,34,0,45.312
307,,,,,115,Junior Scientist 2018,57,56,113,54,0,35.312
308,,,,,115,Junior Scientist 2018,82,79,161,23,0,50.312
310,,,,,115,Junior Scientist 2018,85,25,110,57,0,34.375
311,,,,,115,Junior Scientist 2018,17,15,32,81,0,10
312,,,,,115,Junior Scientist 2018,102,93,195,7,0,60.938
313,,,,,115,Junior Scientist 2018,10,35,45,78,0,14.062
315,,,,,115,Junior Scientist 2018,61,65,126,46,0,39.375
316,,,,,115,Junior Scientist 2018,41,40,81,69,0,25.312
317,,,,,115,Junior Scientist 2018,59,59,118,51,0,36.875
318,,,,,115,Junior Scientist 2018,76,65,141,37,0,44.062
319,,,,,115,Junior Scientist 2018,61,50,111,56,0,34.688
320,,,,,115,Junior Scientist 2018,10,45,55,76,0,17.188
322,,,,,115,Junior Scientist 2018,50,75,125,47,0,39.062
323,,,,,115,Junior Scientist 2018,67,77,144,35,0,45
324,,,,,115,Junior Scientist 2018,52,45,97,64,0,30.312
326,,,,,115,Junior Scientist 2018,76,35,111,56,0,34.688
327,,,,,115,Junior Scientist 2018,52,46,98,63,0,30.625
328,,,,,115,Junior Scientist 2018,80,70,150,31,0,46.875
329,,,,,115,Junior Scientist 2018,35,35,70,72,0,21.875
330,,,,,115,Junior Scientist 2018,90,81,171,18,0,53.438
331,,,,,115,Junior Scientist 2018,57,59,116,52,0,36.25
333,,,,,115,Junior Scientist 2018,81,90,171,18,0,53.438
334,,,,,115,Junior Scientist 2018,93,76,169,20,0,52.812
336,,,,,115,Junior Scientist 2018,115,105,220,4,0,68.75
337,,,,,115,Junior Scientist 2018,20,40,60,74,0,18.75
338,,,,,115,Junior Scientist 2018,74,68,142,36,0,44.375
339,,,,,115,Junior Scientist 2018,58,80,138,39,0,43.125
340,,,,,115,Junior Scientist 2018,35,30,65,73,0,20.312
341,,,,,115,Junior Scientist 2018,45,35,80,70,0,25
345,,,,,115,Junior Scientist 2018,76,60,136,41,0,42.5
346,,,,,115,Junior Scientist 2018,70,65,135,42,0,42.188
347,,,,,115,Junior Scientist 2018,57,66,123,48,0,38.438
349,,,,,115,Junior Scientist 2018,65,30,95,65,0,29.688
350,,,,,115,Junior Scientist 2018,118,116,234,2,0,73.125
351,,,,,115,Junior Scientist 2018,69,49,118,51,0,36.875
354,,,,,115,Junior Scientist 2018,130,125,255,1,0,79.688
355,,,,,115,Junior Scientist 2018,50,15,65,73,0,20.312
356,,,,,115,Junior Scientist 2018,65,45,110,57,0,34.375
357,,,,,115,Junior Scientist 2018,66,50,116,52,0,36.25
358,,,,,115,Junior Scientist 2018,100,100,200,6,0,62.5
359,,,,,115,Junior Scientist 2018,38,49,87,68,0,27.188
361,,,,,115,Junior Scientist 2018,77,60,137,40,0,42.812
366,,,,,115,Junior Scientist 2018,84,93,177,15,0,55.312
372,,,,,115,Junior Scientist 2018,86,87,173,16,0,54.062
373,,,,,115,Junior Scientist 2018,96,95,191,8,0,59.688
374,,,,,115,Junior Scientist 2018,70,60,130,44,0,40.625
375,,,,,115,Junior Scientist 2018,60,15,75,71,0,23.438
376,,,,,115,Junior Scientist 2018,105,100,205,5,0,64.062
379,,,,,115,Junior Scientist 2018,92,67,159,25,0,49.688
380,,,,,115,Junior Scientist 2018,40,40,80,70,0,25
381,,,,,115,Junior Scientist 2018,50,50,100,62,0,31.25
382,,,,,115,Junior Scientist 2018,91,104,195,7,0,60.938
384,,,,,115,Junior Scientist 2018,10,30,40,79,0,12.5
385,,,,,115,Junior Scientist 2018,101,133,234,2,0,73.125
390,,,,,115,Junior Scientist 2018,110,90,200,6,0,62.5
392,,,,,115,Junior Scientist 2018,75,45,120,50,0,37.5
395,,,,,115,Junior Scientist 2018,65,65,130,44,0,40.625
396,,,,,115,Junior Scientist 2018,75,75,150,31,0,46.875
401,,,,,115,Junior Scientist 2018,52,56,108,59,0,33.75
402,,,,,115,Junior Scientist 2018,91,55,146,33,0,45.625
404,,,,,115,Junior Scientist 2018,56,53,109,58,0,34.062
405,,,,,115,Junior Scientist 2018,57,104,161,23,0,50.312
406,,,,,115,Junior Scientist 2018,0,15,15,84,0,4.688
408,,,,,115,Junior Scientist 2018,30,45,75,71,0,23.438
409,,,,,115,Junior Scientist 2018,107,88,195,7,0,60.938
414,,,,,115,Junior Scientist 2018,65,88,153,29,0,47.812
415,,,,,115,Junior Scientist 2018,75,55,130,44,0,40.625
416,,,,,115,Junior Scientist 2018,65,40,105,61,0,32.812
417,,,,,115,Junior Scientist 2018,80,101,181,12,0,56.562
418,,,,,115,Junior Scientist 2018,86,82,168,21,0,52.5
420,,,,,115,Junior Scientist 2018,60,50,110,57,0,34.375
422,,,,,115,Junior Scientist 2018,37,21,58,75,0,18.125
423,,,,,115,Junior Scientist 2018,55,60,115,53,0,35.938
424,,,,,115,Junior Scientist 2018,5,20,25,83,0,7.812
427,,,,,115,Junior Scientist 2018,30,50,80,70,0,25
428,,,,,115,Junior Scientist 2018,110,110,220,4,0,68.75
430,,,,,115,Junior Scientist 2018,60,75,135,42,0,42.188
431,,,,,115,Junior Scientist 2018,95,90,185,11,0,57.812
432,,,,,115,Junior Scientist 2018,47,64,111,56,0,34.688
434,,,,,115,Junior Scientist 2018,33,5,38,80,0,11.875
435,,,,,115,Junior Scientist 2018,29,26,55,76,0,17.188
443,,,,,115,Junior Scientist 2018,65,105,170,19,0,53.125
444,,,,,115,Junior Scientist 2018,40,60,100,62,0,31.25
445,,,,,115,Junior Scientist 2018,55,55,110,57,0,34.375
446,,,,,115,Junior Scientist 2018,80,89,169,20,0,52.812
447,,,,,115,Junior Scientist 2018,65,45,110,57,0,34.375
448,,,,,115,Junior Scientist 2018,87,65,152,30,0,47.5
449,,,,,115,Junior Scientist 2018,93,79,172,17,0,53.75
450,,,,,115,Junior Scientist 2018,53,59,112,55,0,35
451,,,,,115,Junior Scientist 2018,41,80,121,49,0,37.812
452,,,,,115,Junior Scientist 2018,60,50,110,57,0,34.375
453,,,,,115,Junior Scientist 2018,48,41,89,67,0,27.812
454,,,,,115,Junior Scientist 2018,115,90,205,5,0,64.062
455,,,,,115,Junior Scientist 2018,57,78,135,42,0,42.188
456,,,,,115,Junior Scientist 2018,108,71,179,14,0,55.938
457,,,,,115,Junior Scientist 2018,79,86,165,22,0,51.562
459,,,,,115,Junior Scientist 2018,60,50,110,57,0,34.375
460,,,,,115,Junior Scientist 2018,40,25,65,73,0,20.312
461,,,,,115,Junior Scientist 2018,81,59,140,38,0,43.75
464,,,,,115,Junior Scientist 2018,60,65,125,47,0,39.062
465,,,,,115,Junior Scientist 2018,87,90,177,15,0,55.312
467,,,,,115,Junior Scientist 2018,57,80,137,40,0,42.812
468,,,,,115,Junior Scientist 2018,65,70,135,42,0,42.188
470,,,,,115,Junior Scientist 2018,95,100,195,7,0,60.938
471,,,,,115,Junior Scientist 2018,84,106,190,9,0,59.375
472,,,,,115,Junior Scientist 2018,5,25,30,82,0,9.375
